等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
0,Acid Splash 酸液飞溅,咒法,1个动作,60尺,V S,立即,,,,,你掷出一颗酸液球。选择射程内的一个生物或两个相距不超过５尺的生物。目标必须通过一次敏捷豁免否则受到１ｄ６点强酸伤害。,此法术的伤害在你５级时为２ｄ６，１１级时为３ｄ６，１７级时为４ｄ６。,,,,,,术士,,法师
2,Aid 援助术,防护,1个动作,30尺,V S M,8小时,,,,一小片白布,你的法术增强了盟友的韧性和毅力。选择至多３个射程内的目标。法术持续时间内，每个目标的生命值上限和当前生命值提高５。,当你使用３环或更高的法术位施展这个法术时，你使用的法术位每比２环高１环，每个目标的生命值上限和当前生命值就额外提高５。,,牧师,,圣武士,,,,
1,Alarm 警报术,防护,1分钟,30尺,V S M,8小时,,,,一个小铃铛和一小段银线,"你设置了警报以对付不速之客。选择射程内的一扇门，一扇窗，或是一个边长不大于２０尺的方形区域。法术持续时间内，任何接触或进入法术区域的超小型或更大的生物都会触发警报。施法时，你可以决定哪些生物不会触发警报。另外，你还选择警报为声音警报或精神警报。
如果你选择精神警报，且警报触发时你距离法术区域不超过１英里，则你的意念里会传来“砰”的警报声。如果你在睡觉，警报将惊醒你。
如果你选择声音警报，警报触发时６０尺内将响起摇铃声，持续１０秒。",,,,,,游侠,,,法师
2,Alter Self 变身术,变化,1个动作,自身,V S,1小时,专注,,,,"你变换了自身形态。施法时，从以下效果中选择一个作为法术效果。法术持续时间内，你可以以一个动作切换选择。
水中适应：你长出鳃和蹼以适应水中行动。你可以在水下呼吸，并且获得等同于步行速度的游泳速度。
改变外貌：你改变了自己的外貌。你可以自行设定自己的外观，包括身高，体重，面部细节，语音，头发长短，肤色，以及（可能有的）奇特外貌特征。你可以让自己看起来像是其他种族，但你的人物数值不会改变。你无法改变体型或是基础身体轮廓。例如，如果你两足行动，就不能变为四组生物。法术持续时间内，你可以以一个动作改变外貌。
天生武器：你长出尖牙，锐抓，棘刺，长角，或是其他一种天生武器。根据你选择的天生武器，它造成１ｄ６钝击，挥砍或穿刺伤害。你熟练你选择的天生武器。另外，该天生武器是魔法武器，你在使用它攻击时在攻击骰和伤害骰上获得＋１加值。",,,,,,,术士,,法师
1,Animal Friendship 化兽为友,附魔,1个动作,30尺,V S M,24小时,,感知,,一点食物,此法术让野兽相信你不会伤害它。选择射程内对你可见的的一只野兽，它必须能看到你且能听到你的声音。它必须进行一次感知豁免，失败则在法术持续时间内被你魅惑。如果它的智力为４或更高则法术直接失败。如果你或你的盟友伤害了它，法术终止。,当你使用２环或更高的法术位施展这个法术时，你使用的法术位每比１环高１环，就可以多选择一个野兽作为目标。,诗人,,德鲁伊,,游侠,,,
2,Animal Messager 动物信使,附魔,1个动作,30尺,V S M,24小时,,,,一点食物,"此法术令你可以利用动物传递信息。选择射程内对你可见的一只超小型野兽，例如松鼠，蓝松鸦，或是蝙蝠。选择一个你造访过的地点。描述收信人的基本信息，例如“一个穿着城镇守卫制服的男人或女人”或“一个戴着圆点帽子的红发矮人”。你还要说出一段不超过２５个字的消息。在法术持续时间内，受术野兽会前往你选择的地点。会飞的信使在２４小时内可以移动５０英里，不会飞的信使只能移动２５英里。
信使抵达目的地后，会模仿你的声音把信息传递给你描述的人。信使只会把信息传递给符合你描述的人。如果法术持续时间内信使未能抵达目的地则信息将遗失，而曾作为信使的野兽将自行寻路返回你施法的地点。
",当你使用３环或更高的法术位施展这个法术时，你使用的法术位每比２环高１环，法术持续时间就增加４８小时。,诗人,,德鲁伊,,游侠,,,
8,Animal Shape 动物形态,变化,1个动作,30尺,V S,24小时,专注,,,,"你施法把其他生物变成野兽。在法术射程内选择任意数量个自愿生物。你将每个目标变为一只挑战等级不超过４，体型不超过大型的野兽。在法术持续时间内，你可以使用动作将受术生物变为其他野兽形态。
对每个受术生物而言，变形持续到法术终止，他的生命值降低到０，或是他死亡。你可以为每个目标选择不同的形态。用所选野兽的游戏数值替换目标的游戏数据，但他保留自己的智力，感知和魅力值。目标使用新形态的生命值。当他变回通常形态时，生命值也恢复为变形前的数值。如果目标是因为生命值降低到０而变回通常形态，则由通常形态承受溢出的伤害。只要溢出伤害不足以将通常形态生命值降低到０，他就不会昏迷。受术生物只能使用其新形态的能力，并且无法说话或施法。
目标的装备融入其新形态。他不能使用，挥舞，或是以其他任何方式从他的装备获益。",,,,德鲁伊,,,,,
5,Animate Object 活化物品,变化,1个动作,120尺,V S ,1分钟,专注,,,,"物体在你的命令下＂活＂了过来。选择射程内至多十个未被持用或穿戴的非魔法物体。中体型目标视为两个物体，大体型目标视为四个物体，超大型目标视为八个物体。你无法活化比超大型更大的物体。每个目标被唤起为生物直到法术终止，或直到其生命值降低到０。
以一个附赠动作，你可以通过精神命令操纵５００尺内任何你用此法术唤起的生物（如果你控制多个生物，你可以同时给他们下达命令，但只能使用同一种命令）。你决定被操纵的生物下回合的动作和移动。或者，你可以下达宽泛的命令，例如守护某个房间或走廊。如果你不下达命令，该生物只会防御自己。一旦被下达命令，该生物会持续执行命令直到任务完成。
活化物体游戏数值
体型  生命值 ＡＣ 攻击                      力量 敏捷
超小型 ２０  １８ 命中＋８，伤害１ｄ４＋４     ４ １８
小型   ２５  １６ 命中＋６，伤害１ｄ８＋２     ６ １４
中型   ４０  １３ 命中＋５，伤害２ｄ６＋１   １０ １２
大型   ５０  １０ 命中＋６，伤害２ｄ１０＋２ １４ １０
超大型 ８０  １０ 命中＋８，伤害２ｄ１２＋４ １８   ６
活化物体的ＡＣ，生命值，攻击，力量和敏捷由其体型决定。它的体质是１０，智力和感知是３，魅力是１。它的速度是３０尺。如果它没有腿或者类似的构造，则它有３０尺的飞行速度并且可以盘旋。如果该物体被牢牢固定在某个表面或更大的物体上（例如被铁链拴在墙上），则它的速度为０。它是目盲的，但拥有３０尺盲视。当活化物体的生命值降低到０时，它变回普通物体，且以物体形态承受任何溢出的伤害。
如果你命令活化物体攻击，它可以对５尺内的一名生物进行一次近战攻击。它使用挥击攻击，造成钝击伤害，攻击加值和伤害由其体型决定。ＤＭ可以认定某些物体会造成挥砍或穿刺伤害。",当你使用６环或更高的法术位施展这个法术时，你使用的法术位每比５环高１环，就多唤起两个物体。,诗人,,,,,术士,,法师
3,Animate Undead 操纵死尸,死灵,1分钟,10尺,V S M,立即,,,,一滴血，一块肉，以及一点骨灰,"此法术创造一个不死仆从。选择射程内的一具类人生物遗骨或遗体。此法术将污秽的虚假生命力量注入其中，将之唤起为不死生物。如果你选择的是遗骨，则目标变为骷髅；选择的是遗体则变为僵尸。该生物的数据由ＤＭ掌控。
在你的任一回合，你可以使用一个附赠动作用精神命令操纵６０尺内任何你用此法术唤起的生物（如果你操纵多个生物，你可以同时给他们下达命令，但只能使用同一种命令）。你决定被操纵的生物下回合的动作和移动。或者，你可以下达宽泛的命令，例如守护某个房间或走廊。如果你不下达命令，该生物只会防御自己。一旦被下达命令，该生物会持续执行命令直到任务完成。
被操纵的生物只会服从你的命令２４小时。如果你在当前的２４小时时间段结束前再次施展此法术，则你对该生物的操纵时间延长２４小时。法术的此种用法只是延长了你对至多四个你使用此法术创造的生物的控制时间，而不会创造新的生物。",当你使用４环或更高的法术位施展这个法术时，你使用的法术位每比３环高１环，就多唤起两只不死生物或是多延长对两只不死生物的控制。你无法用同一具尸骨或尸体唤起多个不死生物。,,牧师,,,,,,法师
5,Antilife Shell 防生物护罩,防护,1个动作,自身（10尺半径）,V,1小时,专注,,,,"闪烁着微光的护罩环绕在你周围１０尺并以你为中心移动，阻绝除不死生物和构装体之外的生物。护罩持续到法术终止。
护罩阻止受影响的生物进入，但受影响的生物可以使用法术，使用远程武器，或是使用长武器攻击护罩内部。
如果你移动迫使受影响的生物进入护罩范围，则法术终止。
",,,,德鲁伊,,,,,
